PlantID,Date,GrossInput_BBL,NetOutput_BBL,Emission_PPM,OperationalEfficiency_Pct
PLT-02,2024-01-07,78172.8,69925.11,25.057,89.45
PLT-03,2024-01-07,57996.0,55618.45,29.347,95.9
PLT-04,2024-01-07,85047.54,79386.09,35.026,93.34
PLT-05,2024-01-07,79644.46,70215.24,25.55,88.16
PLT-01,2024-01-08,54709.86,51493.62,14.041,94.12
PLT-02,2024-01-08,85104.27,76505.07,47.658,89.9
PLT-03,2024-01-08,66843.28,60778.58,45.242,90.93
PLT-04,2024-01-08,73387.83,70940.9,12.87,96.67
PLT-05,2024-01-08,64507.57,60634.37,44.071,94.0
PLT-01,2024-01-09,60512.45,58318.45,33.388,96.37
PLT-02,2024-01-09,104080.66,95311.72,19.638,91.57
PLT-03,2024-01-09,112898.83,108832.47,29.913,96.4
PLT-04,2024-01-09,40519.6,36057.6,34.129,88.99
PLT-05,2024-01-09,41902.14,38370.71,22.921,91.57
PLT-01,2024-01-10,97147.86,85976.06,31.094,88.5
PLT-02,2024-01-10,86329.14,80765.76,26.586,93.56
PLT-03,2024-01-10,64349.42,60580.11,42.512,94.14
PLT-04,2024-01-10,95489.41,92041.21,37.821,96.39
PLT-05,2024-01-10,101169.5,90557.96,28.603,89.51
PLT-01,2024-01-11,78804.43,71165.63,31.027,90.31
PLT-02,2024-01-11,63263.36,59586.19,28.93,94.19
PLT-03,2024-01-11,76704.56,74290.5,26.128,96.85
PLT-04,2024-01-11,68983.63,62683.66,44.211,90.87
PLT-05,2024-01-11,79737.91,74475.31,18.509,93.4
PLT-01,2024-01-12,83275.39,75340.77,38.303,90.47
PLT-02,2024-01-12,106602.27,100668.04,38.289,94.43
PLT-03,2024-01-12,80997.98,76469.43,27.217,94.41
PLT-04,2024-01-12,92119.13,83212.46,14.511,90.33
PLT-05,2024-01-12,73077.86,67345.64,21.231,92.16
PLT-01,2024-01-13,98216.76,87080.9,21.519,88.66
PLT-02,2024-01-13,99885.18,91828.56,37.39,91.93
PLT-03,2024-01-13,85398.87,82458.09,33.521,96.56
PLT-04,2024-01-13,41189.52,37554.91,17.15,91.18
PLT-05,2024-01-13,113970.69,101361.1,27.457,88.94
PLT-01,2024-01-14,58087.94,55543.98,23.108,95.62
PLT-02,2024-01-14,119351.48,105444.11,18.118,88.35
PLT-03,2024-01-14,57971.1,55246.43,43.627,95.3
PLT-04,2024-01-14,45716.11,40363.73,40.304,88.29
PLT-05,2024-01-14,50668.16,45194.47,14.305,89.2
PLT-01,2024-01-15,43984.63,39750.26,14.34,90.37
PLT-02,2024-01-15,69510.33,66378.87,23.748,95.49
PLT-03,2024-01-15,98226.73,87269.72,37.238,88.85
PLT-04,2024-01-15,65339.77,61907.98,16.905,94.75
PLT-05,2024-01-15,111830.67,100852.47,24.713,90.18
PLT-01,2024-01-16,116014.46,108132.83,25.168,93.21
PLT-02,2024-01-16,115968.17,105486.62,15.415,90.96
PLT-03,2024-01-16,119747.91,108264.81,42.645,90.41
PLT-04,2024-01-16,53243.26,50358.64,30.88,94.58
PLT-05,2024-01-16,118472.52,110150.39,12.901,92.98
PLT-01,2024-01-17,88310.24,78867.98,42.247,89.31
PLT-02,2024-01-17,108525.46,100211.15,40.196,92.34
PLT-03,2024-01-17,51608.86,47701.4,26.182,92.43
PLT-04,2024-01-17,88905.39,78592.63,40.576,88.4
PLT-05,2024-01-17,46330.34,43508.01,12.664,93.91
PLT-01,2024-01-18,106551.05,95440.22,32.058,89.57
PLT-02,2024-01-18,60919.43,57571.19,23.569,94.5
PLT-03,2024-01-18,97968.74,88724.25,39.089,90.56
PLT-04,2024-01-18,42448.44,38436.98,29.951,90.55
PLT-05,2024-01-18,43604.77,39102.28,47.143,89.67
PLT-01,2024-01-19,118146.74,111835.05,21.079,94.66
PLT-02,2024-01-19,60841.4,57076.6,16.234,93.81
PLT-03,2024-01-19,115864.75,104305.29,47.987,90.02
PLT-04,2024-01-19,79658.7,75630.26,12.079,94.94
PLT-05,2024-01-19,111099.71,100467.49,36.046,90.43
PLT-01,2024-01-20,104508.42,93511.34,29.43,89.48
PLT-02,2024-01-20,79506.88,72199.46,29.343,90.81
PLT-03,2024-01-20,65403.65,59678.69,36.096,91.25
PLT-04,2024-01-20,90607.46,81628.62,44.309,90.09
PLT-05,2024-01-20,109023.08,100935.48,27.597,92.58
PLT-01,2024-01-21,70148.48,66195.9,36.18,94.37
PLT-02,2024-01-21,55694.45,52376.8,21.088,94.04
PLT-03,2024-01-21,41484.67,39117.09,35.213,94.29
PLT-04,2024-01-21,72864.74,67568.33,46.098,92.73
PLT-05,2024-01-21,87616.01,82289.79,14.301,93.92
PLT-01,2024-01-22,53279.56,48329.13,31.418,90.71
PLT-02,2024-01-22,102127.27,92824.67,24.83,90.89
PLT-03,2024-01-22,60492.07,54619.19,46.159,90.29
PLT-04,2024-01-22,90836.57,81210.72,39.501,89.4
PLT-05,2024-01-22,97761.69,91894.26,16.85,94.0
PLT-01,2024-01-23,72639.32,64620.53,42.898,88.96
PLT-02,2024-01-23,92413.77,85542.65,24.349,92.56
PLT-03,2024-01-23,54739.96,48695.59,48.393,88.96
PLT-04,2024-01-23,55971.89,49556.88,48.12,88.54
PLT-05,2024-01-23,83916.14,79862.92,13.576,95.17
PLT-01,2024-01-24,85355.67,78172.04,39.791,91.58
PLT-02,2024-01-24,43074.05,39462.38,40.767,91.62
PLT-03,2024-01-24,81815.78,76048.05,15.498,92.95
PLT-04,2024-01-24,50586.44,47598.3,36.302,94.09
PLT-05,2024-01-24,118328.27,111710.85,29.757,94.41
PLT-01,2024-01-25,108586.23,96576.87,29.675,88.94
PLT-02,2024-01-25,62968.73,56005.48,40.986,88.94
PLT-03,2024-01-25,80863.36,75211.75,26.805,93.01
PLT-04,2024-01-25,76826.98,68409.94,37.725,89.04
PLT-05,2024-01-25,74595.79,71127.76,19.066,95.35
PLT-01,2024-01-26,56404.41,52914.01,42.456,93.81
PLT-02,2024-01-26,77775.83,73531.28,47.976,94.54
PLT-03,2024-01-26,119221.25,112901.37,38.625,94.7
PLT-04,2024-01-26,59809.51,57119.19,26.584,95.5
PLT-05,2024-01-26,116959.51,103781.51,29.19,88.73
PLT-01,2024-01-27,84467.24,77411.19,19.581,91.65
PLT-02,2024-01-27,87439.08,82895.1,35.214,94.8
PLT-03,2024-01-27,58755.91,55573.97,21.248,94.58
PLT-04,2024-01-27,54016.19,50891.9,42.34,94.22
PLT-05,2024-01-27,78523.16,72855.77,22.899,92.78
PLT-01,2024-01-28,79569.44,70966.27,47.91,89.19
PLT-02,2024-01-28,104028.85,97799.35,31.375,94.01
PLT-03,2024-01-28,103373.53,95571.74,22.799,92.45
PLT-04,2024-01-28,52829.94,49569.42,45.459,93.83
PLT-05,2024-01-28,52289.48,46861.92,29.11,89.62
PLT-01,2024-01-29,104551.95,94771.43,21.141,90.65
PLT-02,2024-01-29,89597.3,83164.69,14.168,92.82
PLT-03,2024-01-29,46519.2,43629.02,28.744,93.79
PLT-04,2024-01-29,117678.18,110743.15,12.363,94.11
PLT-05,2024-01-29,78481.5,71991.1,15.842,91.73
PLT-01,2024-01-30,113856.71,108442.94,20.283,95.25
PLT-02,2024-01-30,60478.46,53395.32,24.182,88.29
PLT-03,2024-01-30,86769.76,79643.87,46.893,91.79
PLT-04,2024-01-30,44486.41,41516.0,42.899,93.32
PLT-05,2024-01-30,78459.27,69065.08,22.241,88.03
PLT-01,2024-01-31,65901.52,63722.78,44.824,96.69
PLT-02,2024-01-31,115933.64,110637.59,24.659,95.43
PLT-03,2024-01-31,112470.11,108910.61,24.603,96.84
PLT-04,2024-01-31,60844.48,56538.06,18.737,92.92
PLT-05,2024-01-31,42609.94,41123.91,45.327,96.51
PLT-01,2024-02-01,53012.31,48596.21,41.917,91.67
PLT-02,2024-02-01,92880.02,85034.53,38.79,91.55
PLT-03,2024-02-01,111763.79,107668.12,25.639,96.34
PLT-04,2024-02-01,53884.85,51845.6,15.332,96.22
PLT-05,2024-02-01,97735.07,87242.7,27.518,89.26
PLT-01,2024-02-02,72924.46,65215.48,46.717,89.43
PLT-02,2024-02-02,40213.45,38622.72,43.818,96.04
PLT-03,2024-02-02,65357.09,61656.94,21.101,94.34
PLT-04,2024-02-02,100701.88,93703.18,22.808,93.05
PLT-05,2024-02-02,72018.78,67848.17,44.62,94.21
PLT-01,2024-02-03,50458.12,46997.84,21.134,93.14
PLT-02,2024-02-03,104109.78,92274.72,38.302,88.63
PLT-03,2024-02-03,53995.68,50414.4,42.085,93.37
PLT-04,2024-02-03,100406.45,95161.71,30.642,94.78
PLT-05,2024-02-03,111259.65,103797.41,45.031,93.29
PLT-01,2024-02-04,83721.8,77487.62,20.005,92.55
PLT-02,2024-02-04,83582.93,74610.52,44.809,89.27
PLT-03,2024-02-04,94071.35,91195.32,15.316,96.94
PLT-04,2024-02-04,59253.82,56821.11,26.229,95.89
PLT-05,2024-02-04,77304.24,74015.61,30.786,95.75
PLT-01,2024-02-05,55478.07,53274.63,13.118,96.03
PLT-02,2024-02-05,111631.7,98743.47,37.471,88.45
PLT-03,2024-02-05,45734.35,43153.07,13.223,94.36
PLT-04,2024-02-05,107396.62,99012.7,15.364,92.19
PLT-05,2024-02-05,96545.56,89211.58,18.874,92.4
PLT-01,2024-02-06,41253.79,37855.3,15.083,91.76
PLT-02,2024-02-06,47533.58,42973.19,34.696,90.41
PLT-03,2024-02-06,82392.85,73017.27,48.364,88.62
PLT-04,2024-02-06,110973.5,100245.72,16.404,90.33
PLT-05,2024-02-06,115392.23,106334.26,23.202,92.15
PLT-01,2024-02-07,79228.64,75231.32,18.062,94.95
PLT-02,2024-02-07,101399.67,96071.14,31.417,94.75
PLT-03,2024-02-07,109267.38,97454.8,34.937,89.19
PLT-04,2024-02-07,75947.44,69720.23,21.092,91.8
PLT-05,2024-02-07,69782.37,62087.72,22.558,88.97
PLT-01,2024-02-08,61757.21,58351.92,13.748,94.49
PLT-02,2024-02-08,92095.38,82879.11,16.447,89.99
PLT-03,2024-02-08,64064.49,57671.02,31.873,90.02
PLT-04,2024-02-08,68590.11,66322.48,46.688,96.69
PLT-05,2024-02-08,75497.22,71839.97,12.478,95.16
PLT-01,2024-02-09,83824.93,79373.57,19.81,94.69
PLT-02,2024-02-09,44893.74,40136.47,29.407,89.4
PLT-03,2024-02-09,80509.71,73608.39,27.839,91.43
PLT-04,2024-02-09,77618.8,73679.59,15.789,94.92
PLT-05,2024-02-09,101516.04,95625.72,38.7,94.2
PLT-01,2024-02-10,98757.47,91089.27,19.61,92.24
PLT-02,2024-02-10,82930.31,80128.79,33.187,96.62
PLT-03,2024-02-10,40883.77,36197.43,49.243,88.54
PLT-04,2024-02-10,45755.71,40454.64,26.209,88.41
PLT-05,2024-02-10,117545.38,106811.23,26.756,90.87
PLT-01,2024-02-11,90726.16,80035.9,45.819,88.22
PLT-02,2024-02-11,81555.44,75195.17,42.986,92.2
PLT-03,2024-02-11,116246.13,106726.53,18.208,91.81
PLT-04,2024-02-11,105256.74,96446.06,45.68,91.63
PLT-05,2024-02-11,115991.92,103271.62,47.936,89.03
PLT-01,2024-02-12,69461.63,65166.31,13.251,93.82
PLT-02,2024-02-12,111110.74,104193.4,35.168,93.77
PLT-03,2024-02-12,112174.09,103845.3,26.779,92.58
PLT-04,2024-02-12,109290.3,103478.01,46.163,94.68
PLT-05,2024-02-12,115209.75,105348.87,28.092,91.44
PLT-01,2024-02-13,60478.8,56817.31,25.124,93.95
PLT-02,2024-02-13,102888.05,91667.03,17.691,89.09
PLT-03,2024-02-13,56356.43,50021.2,35.821,88.76
PLT-04,2024-02-13,51788.22,46319.21,14.012,89.44
PLT-05,2024-02-13,102567.2,97757.48,17.833,95.31
PLT-01,2024-02-14,99161.95,91131.72,20.625,91.9
PLT-02,2024-02-14,89710.77,80386.55,40.748,89.61
PLT-03,2024-02-14,43809.22,42333.8,14.588,96.63
PLT-04,2024-02-14,86355.87,83005.05,12.429,96.12
PLT-05,2024-02-14,79881.16,72811.73,32.892,91.15
PLT-01,2024-02-15,58036.59,51411.19,36.034,88.58
PLT-02,2024-02-15,73347.94,68655.41,19.579,93.6
PLT-03,2024-02-15,67099.3,62439.34,33.352,93.06
PLT-04,2024-02-15,69785.18,63169.88,21.853,90.52
PLT-05,2024-02-15,53975.95,49079.6,19.18,90.93
PLT-01,2024-02-16,90705.23,84466.16,25.773,93.12
PLT-02,2024-02-16,66066.4,59551.28,31.276,90.14
PLT-03,2024-02-16,113512.22,106895.96,38.799,94.17
PLT-04,2024-02-16,106750.23,97318.54,14.264,91.16
PLT-05,2024-02-16,89804.7,80553.07,33.986,89.7
PLT-01,2024-02-17,99160.82,94255.08,22.866,95.05
PLT-02,2024-02-17,80994.66,75801.84,41.501,93.59
PLT-03,2024-02-17,100911.09,97774.55,12.291,96.89
PLT-04,2024-02-17,74999.16,67727.54,16.316,90.3
PLT-05,2024-02-17,112921.23,109512.88,18.501,96.98
PLT-01,2024-02-18,43074.67,38972.02,42.055,90.48
PLT-02,2024-02-18,63511.21,56215.11,15.39,88.51
PLT-03,2024-02-18,74193.82,71512.78,22.293,96.39
PLT-04,2024-02-18,74172.61,65952.36,31.269,88.92
PLT-05,2024-02-18,95723.77,86572.92,22.682,90.44
PLT-01,2024-02-19,107358.0,94575.18,36.413,88.09
PLT-02,2024-02-19,71510.77,64849.85,35.673,90.69
PLT-03,2024-02-19,106773.48,99326.59,13.119,93.03
PLT-04,2024-02-19,76912.1,70885.91,31.577,92.16
PLT-05,2024-02-19,93676.71,82598.38,31.572,88.17
PLT-01,2024-02-20,87064.62,79307.32,36.061,91.09
PLT-02,2024-02-20,58254.22,52927.66,46.659,90.86
PLT-03,2024-02-20,67845.63,61819.93,33.445,91.12
PLT-04,2024-02-20,117678.03,113968.49,32.868,96.85
PLT-05,2024-02-20,40086.96,38525.94,32.529,96.11
PLT-01,2024-02-21,69279.71,66136.32,26.394,95.46
PLT-02,2024-02-21,42723.56,40753.85,31.651,95.39
PLT-03,2024-02-21,67051.48,60519.35,33.377,90.26
PLT-04,2024-02-21,56643.96,51497.66,34.915,90.91
PLT-05,2024-02-21,110523.56,102561.46,39.328,92.8
PLT-01,2024-02-22,101044.85,94961.13,20.85,93.98
PLT-02,2024-02-22,109343.09,100515.25,13.592,91.93
PLT-03,2024-02-22,59569.01,56524.99,14.489,94.89
PLT-04,2024-02-22,51789.15,48810.26,44.134,94.25
PLT-05,2024-02-22,90698.56,81629.27,13.923,90.0
PLT-01,2024-02-23,89210.13,78885.47,35.558,88.43
PLT-02,2024-02-23,58046.4,55806.91,29.103,96.14
PLT-03,2024-02-23,57915.07,55412.16,21.145,95.68
PLT-04,2024-02-23,64527.93,61629.66,23.117,95.51
PLT-05,2024-02-23,72813.1,66353.84,16.19,91.13
PLT-01,2024-02-24,43111.66,40749.51,35.225,94.52
PLT-02,2024-02-24,62589.29,56743.7,46.02,90.66
PLT-03,2024-02-24,119013.69,109803.12,40.888,92.26
PLT-04,2024-02-24,98934.87,89710.04,14.108,90.68
PLT-05,2024-02-24,51404.5,49114.25,38.324,95.54
PLT-01,2024-02-25,93146.79,83064.43,36.538,89.18
PLT-02,2024-02-25,101772.19,97442.21,12.476,95.75
PLT-03,2024-02-25,94758.01,83549.92,38.947,88.17
PLT-04,2024-02-25,90849.71,81160.71,41.08,89.34
PLT-05,2024-02-25,45467.81,43393.38,21.429,95.44
PLT-01,2024-02-26,95108.15,91601.71,24.234,96.31
PLT-02,2024-02-26,80231.53,73947.85,17.674,92.17
PLT-03,2024-02-26,87224.96,82590.71,45.007,94.69
PLT-04,2024-02-26,108064.21,100056.84,37.885,92.59
PLT-05,2024-02-26,104062.67,96196.99,16.155,92.44
PLT-01,2024-02-27,75034.46,71719.66,33.479,95.58
PLT-02,2024-02-27,97956.67,87835.21,48.216,89.67
PLT-03,2024-02-27,72326.44,67902.03,12.679,93.88
PLT-04,2024-02-27,50185.54,47695.49,46.847,95.04
PLT-05,2024-02-27,65604.43,57951.43,26.491,88.33
PLT-01,2024-02-28,41397.45,37146.49,40.589,89.73
PLT-02,2024-02-28,114967.07,102075.86,33.584,88.79
PLT-03,2024-02-28,60310.47,53828.02,21.383,89.25
PLT-04,2024-02-28,86221.05,76379.96,29.132,88.59
PLT-05,2024-02-28,50818.23,45967.17,18.867,90.45
PLT-01,2024-02-29,110638.04,104411.44,43.265,94.37
PLT-02,2024-02-29,70677.03,64189.39,25.701,90.82
PLT-03,2024-02-29,41483.86,39211.51,24.592,94.52
PLT-04,2024-02-29,65065.9,60760.66,27.705,93.38
PLT-05,2024-02-29,118467.47,108049.77,34.1,91.21
PLT-01,2024-03-01,64932.09,62929.17,28.024,96.92
PLT-02,2024-03-01,90730.3,80877.44,39.889,89.14
PLT-03,2024-03-01,61536.8,56636.94,43.793,92.04
PLT-04,2024-03-01,117644.2,108022.26,42.053,91.82
PLT-05,2024-03-01,44267.92,42332.6,34.662,95.63
PLT-01,2024-03-02,79096.49,75940.28,42.432,96.01
PLT-02,2024-03-02,63755.61,60646.5,15.582,95.12
PLT-03,2024-03-02,105821.11,99555.55,15.163,94.08
PLT-04,2024-03-02,94646.41,88233.81,33.404,93.22
PLT-05,2024-03-02,63269.11,57194.31,39.451,90.4
PLT-01,2024-03-03,60545.08,55711.38,37.012,92.02
PLT-02,2024-03-03,46369.3,43286.18,33.218,93.35
PLT-03,2024-03-03,94738.3,86523.88,28.163,91.33
PLT-04,2024-03-03,66397.55,63259.28,16.702,95.27
PLT-05,2024-03-03,117036.32,109678.86,43.929,93.71
PLT-01,2024-03-04,74098.52,67422.62,44.426,90.99
PLT-02,2024-03-04,47909.84,42665.61,24.276,89.05
PLT-03,2024-03-04,116782.0,109421.95,31.951,93.7
PLT-04,2024-03-04,96428.51,88480.17,39.291,91.76
PLT-05,2024-03-04,71458.46,68198.0,21.623,95.44
PLT-01,2024-03-05,62203.73,57663.76,27.507,92.7
PLT-02,2024-03-05,91849.27,83838.74,20.3,91.28
PLT-03,2024-03-05,77584.69,72191.47,17.134,93.05
PLT-04,2024-03-05,84537.49,76822.02,26.128,90.87
PLT-05,2024-03-05,62345.45,60090.22,36.6,96.38
PLT-01,2024-03-06,60996.82,57218.24,42.549,93.81
PLT-02,2024-03-06,72130.42,68862.64,17.559,95.47
PLT-03,2024-03-06,105822.51,98269.59,20.027,92.86
PLT-04,2024-03-06,72571.31,70315.75,40.208,96.89
PLT-05,2024-03-06,86006.91,76577.52,28.541,89.04
PLT-01,2024-03-07,61044.12,54108.9,33.019,88.64
PLT-02,2024-03-07,111134.86,104556.12,20.988,94.08
PLT-03,2024-03-07,85886.77,82871.38,38.025,96.49
PLT-04,2024-03-07,95157.91,92030.47,40.759,96.71
PLT-05,2024-03-07,50929.88,46411.75,46.745,91.13
PLT-01,2024-03-08,79176.43,70470.77,30.01,89.0
PLT-02,2024-03-08,95759.46,92865.55,23.661,96.98
PLT-03,2024-03-08,81126.95,77814.64,24.79,95.92
PLT-04,2024-03-08,48740.92,47054.69,29.584,96.54
PLT-05,2024-03-08,80222.7,75081.07,12.127,93.59
PLT-01,2024-03-09,114490.49,104476.08,26.29,91.25
PLT-02,2024-03-09,53928.74,49292.68,40.942,91.4
PLT-03,2024-03-09,103999.33,100278.41,26.516,96.42
PLT-04,2024-03-09,96697.72,89508.38,40.945,92.57
PLT-05,2024-03-09,97003.36,88574.86,24.12,91.31
PLT-01,2024-03-10,60195.4,56095.28,46.698,93.19
PLT-02,2024-03-10,56005.34,49764.82,17.798,88.86
PLT-03,2024-03-10,102647.89,93564.52,20.077,91.15
PLT-04,2024-03-10,68227.53,64002.87,31.684,93.81
PLT-05,2024-03-10,99487.15,90584.71,28.273,91.05
PLT-01,2024-03-11,48157.47,42695.22,30.141,88.66
PLT-02,2024-03-11,64127.73,59969.18,13.548,93.52
PLT-03,2024-03-11,49741.31,47645.57,32.387,95.79
PLT-04,2024-03-11,96964.36,92676.35,28.698,95.58
PLT-05,2024-03-11,100884.83,93541.7,20.019,92.72
PLT-01,2024-03-12,67012.49,61928.36,23.408,92.41
PLT-02,2024-03-12,66842.22,60850.84,16.422,91.04
PLT-03,2024-03-12,46771.41,41354.56,17.494,88.42
PLT-04,2024-03-12,67496.57,63004.57,18.773,93.34
PLT-05,2024-03-12,111040.71,105794.53,30.739,95.28
PLT-01,2024-03-13,97936.79,89413.31,13.324,91.3
PLT-02,2024-03-13,112346.63,100157.18,47.626,89.15
PLT-03,2024-03-13,85750.61,77818.74,29.839,90.75
PLT-04,2024-03-13,80130.38,70682.67,26.297,88.21
PLT-05,2024-03-13,99189.26,91839.95,20.792,92.59
PLT-01,2024-03-14,66808.79,63981.1,30.92,95.77
PLT-02,2024-03-14,82268.17,79514.82,23.552,96.65
PLT-03,2024-03-14,78363.29,74684.46,39.321,95.31
PLT-04,2024-03-14,61263.95,54745.36,38.725,89.36
PLT-05,2024-03-14,60612.49,58372.3,16.653,96.3
PLT-01,2024-03-15,65465.22,57932.19,38.819,88.49
PLT-02,2024-03-15,111301.01,104314.5,45.759,93.72
PLT-03,2024-03-15,50280.32,44643.7,43.683,88.79
PLT-04,2024-03-15,108440.89,103538.66,40.763,95.48
PLT-05,2024-03-15,68978.27,62050.89,46.937,89.96
PLT-01,2024-03-16,64560.01,59127.72,37.184,91.59
PLT-02,2024-03-16,63468.49,60531.28,14.521,95.37
PLT-03,2024-03-16,103294.61,96494.38,32.628,93.42
PLT-04,2024-03-16,76670.16,69381.44,28.707,90.49
PLT-05,2024-03-16,76002.28,70875.0,22.137,93.25
PLT-01,2024-03-17,46207.65,41266.11,38.67,89.31
PLT-02,2024-03-17,41799.39,40005.35,36.998,95.71
PLT-03,2024-03-17,101446.92,96906.01,16.418,95.52
PLT-04,2024-03-17,105796.09,97905.59,43.879,92.54
PLT-05,2024-03-17,110926.93,97857.08,27.283,88.22
PLT-01,2024-03-18,82111.9,77271.6,22.303,94.11
PLT-02,2024-03-18,60171.38,55015.53,30.034,91.43
PLT-03,2024-03-18,116091.7,110123.4,27.456,94.86
PLT-04,2024-03-18,44349.29,39700.01,29.913,89.52
PLT-05,2024-03-18,105106.07,96094.55,31.386,91.43
PLT-01,2024-03-19,111344.39,107140.21,19.768,96.22
PLT-02,2024-03-19,43487.59,39464.42,37.049,90.75
PLT-03,2024-03-19,116088.98,102963.13,14.525,88.69
PLT-04,2024-03-19,110731.78,104899.88,47.721,94.73
PLT-05,2024-03-19,71743.43,65820.62,18.203,91.74
PLT-01,2024-03-20,49267.77,45921.73,25.114,93.21
PLT-02,2024-03-20,46425.32,44560.36,19.141,95.98
PLT-03,2024-03-20,99886.75,90437.52,41.265,90.54
PLT-04,2024-03-20,49471.75,46901.52,15.532,94.8
PLT-05,2024-03-20,75753.26,71667.16,18.236,94.61
PLT-01,2024-03-21,62853.2,60202.62,43.864,95.78
PLT-02,2024-03-21,43594.84,39022.97,17.729,89.51
PLT-03,2024-03-21,54375.45,52598.29,31.86,96.73
PLT-04,2024-03-21,77448.99,75017.25,32.05,96.86
PLT-05,2024-03-21,92889.43,84524.68,25.756,90.99
PLT-01,2024-03-22,87552.75,77596.31,22.712,88.63
PLT-02,2024-03-22,55744.94,49135.29,32.828,88.14
PLT-03,2024-03-22,84884.23,77631.26,21.674,91.46
PLT-04,2024-03-22,92164.79,82221.99,32.17,89.21
PLT-05,2024-03-22,101445.92,90772.47,40.617,89.48
PLT-01,2024-03-23,100863.56,89303.93,14.176,88.54
PLT-02,2024-03-23,117914.83,105817.29,43.097,89.74
PLT-03,2024-03-23,84948.05,76776.26,16.679,90.38
PLT-04,2024-03-23,79734.18,73089.29,37.16,91.67
PLT-05,2024-03-23,112333.48,106994.53,21.88,95.25
PLT-01,2024-03-24,110314.66,105351.08,45.449,95.5
PLT-02,2024-03-24,76692.87,72794.71,33.3,94.92
PLT-03,2024-03-24,64840.22,62862.51,13.379,96.95
PLT-04,2024-03-24,52981.81,50879.96,14.18,96.03
PLT-05,2024-03-24,110945.65,104773.74,13.321,94.44
PLT-01,2024-03-25,74345.6,70472.38,32.992,94.79
PLT-02,2024-03-25,114869.7,110055.28,23.975,95.81
PLT-03,2024-03-25,46770.18,45132.43,30.622,96.5
PLT-04,2024-03-25,45951.81,43814.67,43.266,95.35
PLT-05,2024-03-25,91153.97,83886.79,35.838,92.03
PLT-01,2024-03-26,96534.7,92709.29,46.411,96.04
PLT-02,2024-03-26,81145.67,77239.68,46.722,95.19
PLT-03,2024-03-26,52099.47,45933.19,44.783,88.16
PLT-04,2024-03-26,55621.87,49159.89,19.263,88.38
PLT-05,2024-03-26,70729.19,63637.45,24.489,89.97
PLT-01,2024-03-27,118023.52,111342.98,37.639,94.34
PLT-02,2024-03-27,47574.83,45000.5,38.616,94.59
PLT-03,2024-03-27,92779.6,83553.53,27.229,90.06
PLT-04,2024-03-27,107702.12,101274.26,38.38,94.03
PLT-05,2024-03-27,86989.95,80071.01,39.326,92.05
PLT-01,2024-03-28,45434.07,42734.58,47.899,94.06
PLT-02,2024-03-28,102415.35,92803.74,22.002,90.62
PLT-03,2024-03-28,93377.49,89700.93,32.806,96.06
PLT-04,2024-03-28,82192.18,73515.53,39.256,89.44
PLT-05,2024-03-28,96183.89,93012.29,22.807,96.7
PLT-01,2024-03-29,100515.64,92380.49,32.105,91.91
PLT-02,2024-03-29,105316.31,94782.53,25.843,90.0
PLT-03,2024-03-29,101864.69,94870.78,15.327,93.13
PLT-04,2024-03-29,74414.87,69413.97,44.743,93.28
PLT-05,2024-03-29,55079.04,52464.76,16.702,95.25
PLT-01,2024-03-30,59378.85,53553.84,43.589,90.19
PLT-02,2024-03-30,55921.42,53171.57,28.625,95.08
PLT-03,2024-03-30,119927.26,114592.68,38.629,95.55
